Центральная, ул.
Молодежная, ул.
Школьная, ул.
Лесная, ул.
Советская, ул.
Новая, ул.
Садовая, ул.
Набережная, ул.
Заречная, ул.
Зеленая, ул.
Мира, ул.
Ленина, ул.
Полевая, ул.
Луговая, ул.
Октябрьская, ул.
Комсомольская, ул.
Гагарина, ул.
Первомайская, ул.
Северная, ул.
Солнечная, ул.
Степная, ул.
Южная, ул.
Береговая, ул.
Кирова, ул.
Пионерская, ул.
Юбилейная, ул.
Речная, ул.
Нагорная, ул.
Восточная, ул.
Колхозная, ул.
Пушкина, пер.
Пролетарская, ул.
Железнодорожная, ул.
Школьный, пер.
Озерная, ул.
Рабочая, ул.
Дачная, ул.
Победы, ул.
Калинина, ул.
Чапаева, ул.
Строителей, ул.
Заводская, ул.
Совхозная, ул.
Кооперативная, ул.
Дружбы, ул.
Дорожная, ул.
Горького, ул.
Спортивная, ул.
Подгорная, ул.
Парковая, ул.
